TAP_Chains_Name	Bypassreg	SIZE	Fublets	MIFS	Instance	ChainName	PowerDomain	ControlPowerSupply
			IDVDIGSAWESTFABRIC03.ADDR	e8xmidvwdnhmif	par_sa_west_fabric.iov_sa_west_fabric.idvdigsawestfabric03_wrap.idvdigsawestfabric03	par_sa_west_fabric_chain_0	vccsa	vccsa
			IDVDIGSAWESTFABRIC02.ADDR	e8xmidvwdnhmif	par_sa_west_fabric.iov_sa_west_fabric.idvdigsawestfabric02_wrap.idvdigsawestfabric02	par_sa_west_fabric_chain_0	vccsa	vccsa
			IDVDIGSAWESTFABRIC01.ADDR	e8xmidvwdnhmif	par_sa_west_fabric.iov_sa_west_fabric.idvdigsawestfabric01_wrap.idvdigsawestfabric01	par_sa_west_fabric_chain_0	vccsa	vccsa
TAP CDU_TUNNEL_FABRIC_SA_TAP2	IOVCTL	SIZE = 32;	IDV_CHAIN					
			IDVDIGDISPFABRIC05.ADDR	e8xmidvtdnhmif	par_disp_fabric.iov_disp_fabric.idvdigdispfabric05_wrap.idvdigdispfabric05	par_disp_fabric_chain_0	vccsa	vccsa
			IDVDIGDISPFABRIC04.ADDR	e8xmidvtdnhmif	par_disp_fabric.iov_disp_fabric.idvdigdispfabric04_wrap.idvdigdispfabric04	par_disp_fabric_chain_0	vccsa	vccsa
			IDVDIGDISPFABRIC03.ADDR	e8xmidvtdnhmif	par_disp_fabric.iov_disp_fabric.idvdigdispfabric03_wrap.idvdigdispfabric03	par_disp_fabric_chain_0	vccsa	vccsa
			IDVDIGDISPFABRIC02.ADDR	e8xmidvtdnhmif	par_disp_fabric.iov_disp_fabric.idvdigdispfabric02_wrap.idvdigdispfabric02	par_disp_fabric_chain_0	vccsa	vccsa
			IDVDIGDISPFABRIC01.ADDR	e8xmidvtdnhmif	par_disp_fabric.iov_disp_fabric.idvdigdispfabric01_wrap.idvdigdispfabric01	par_disp_fabric_chain_0	vccsa	vccsa
TAP CDU_TUNNEL_FABRIC_SA_TAP5	IOVCTL	SIZE = 59;	IDV_CHAIN					
			IDVDIGTCFABRIC06.ADDR	e8xmidvtdnhmif	par_tc_fabric.iov_tc_fabric.idvdigtcfabric06_wrap.idvdigtcfabric06	par_tc_fabric_chain_0	vccsa	vccsa
			IDVDIGTCFABRIC05.ADDR	e8xmidvtdnhmif	par_tc_fabric.iov_tc_fabric.idvdigtcfabric05_wrap.idvdigtcfabric05	par_tc_fabric_chain_0	vccsa	vccsa
			IDVDIGTCFABRIC03.ADDR	e8xmidvtdnhmif	par_tc_fabric.iov_tc_fabric.idvdigtcfabric03_wrap.idvdigtcfabric03	par_tc_fabric_chain_0	vccsa	vccsa
